horario,canción,artista,duración,categoría,popularidad,energía,baile,positividad
Noche,Una Nota,J Balvin;Sech,170760,latino,2,0.788,0.662,0.711
Noche,Decidir,Disidente,277533,rock,42,0.872,0.368,0.558
Noche,Forest Fire,Seekae,131226,electronica,9,0.171,0.322,0.0424
Tarde,Há Tempos - Ao Vivo Em São Paulo / 1999,Legião Urbana,225400,latino,46,0.552,0.38,0.647
Noche,Edge of Time - Ingrained Instincts Remix,Killerwatts;Mandala (UK);Ingrained Instincts,499726,electronica,24,0.949,0.641,0.195
Noche,Un Amor para la Historia - Bolero/Balada,Gilberto Santa Rosa,216013,latino,31,0.514,0.443,0.364
Noche,I Was A Teenage Werewolf - Remastered,The Cramps,183866,rock,1,0.601,0.412,0.49
Noche,Lilt,Eugene Goh,141312,tranquila,39,0.134,0.405,0.129
Noche,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),Martin Garrix;G-Eazy;Sasha Alex Sloan,164166,electronica,63,0.642,0.647,0.48
Noche,Perspectives,Norrona,249656,tranquila,58,0.045,0.152,0.0821
Noche,Yira-Yira,Carlos Gardel,166533,latino,16,0.155,0.712,0.478
Noche,Dhal Jaun Main,Jubin Nautiyal;Aakanksha Sharma;Jeet Gannguli,289044,pop_comercial,46,0.485,0.629,0.303
Noche,Uma Linda Mulher,Xamã;Bagua Records;Luccas Carlos,208000,electronica,54,0.616,0.704,0.161
Noche,Skeleton Cartier,Popcaan,221583,latino,2,0.82,0.549,0.357
Noche,You Belong With Me (Taylor’s Version),Taylor Swift,231124,pop_comercial,9,0.773,0.632,0.474
Noche,Never Again,Trampled by Turtles,129946,rock,27,0.888,0.554,0.649
Noche,En Cero,Yandel;Sebastian Yatra;Manuel Turizo,223586,latino,1,0.783,0.733,0.634
Tarde,Black Clouds,The String Cheese Incident,796533,rock,22,0.622,0.403,0.83
Tarde,Promete,Maneva,180398,latino,49,0.407,0.776,0.749
Tarde,Into The Black,Chromatics,322994,tranquila,52,0.385,0.61,0.128
Tarde,Just to be Needed,death's dynamic shroud,372250,electronica,40,0.497,0.473,0.119
Tarde,don't give up,yaeow,114857,tranquila,51,0.295,0.671,0.513
Tarde,Bekhayali,Sachet Tandon,371790,pop_comercial,66,0.582,0.296,0.365
Noche,La pared 720,Lenny Tavárez;Randy;De La Ghetto;Brray;Justin Quiles,276104,latino,1,0.845,0.698,0.749
Noche,How Deep Is Your Love - Serban Mix,Bee Gees,246240,pop_comercial,57,0.497,0.578,0.504
Noche,Prohibido,Alexander Abreu,265639,latino,30,0.774,0.808,0.839
Noche,All Black,Raftaar;Sukh-E Muzical Doctorz,218145,urbana,61,0.734,0.813,0.652
Noche,Wakacyjna miłość,Fanatic,284026,pop_comercial,32,0.907,0.552,0.852
Noche,Pensando en ti,Pepe Aguirre,179002,latino,18,0.259,0.585,0.842
Noche,Do the Whirlwind,Architecture In Helsinki,279040,rock,44,0.415,0.791,0.556
Noche,SPACESHIP,AP Dhillon;Shinda Kahlon;Gminxr,124498,pop_comercial,73,0.683,0.69,0.549
Noche,Summer Overture,Clint Mansell;Kronos Quartet,155266,tranquila,44,0.232,0.43,0.0424
Noche,Te Regalo Mi Adiós,Fernando Corona,162640,electronica,13,0.449,0.652,0.758
Noche,Somos Instantes,Gabriel Elias;Vitor Kley,225877,latino,44,0.647,0.527,0.573
Noche,El Maestro - En Vivo,Babasónicos,170866,rock,44,0.915,0.65,0.885
Noche,What Will Be Will Be,Allo Darlin',217706,electronica,15,0.234,0.61,0.156
Tarde,Saudades Mil,509-E;Dexter;Afro-X,526026,urbana,48,0.589,0.624,0.78
Tarde,Con y por Amor,Enrique Guzman,203258,rock,34,0.531,0.324,0.433
Noche,Chicharrón,Guaynaa;Cauty,195866,latino,3,0.789,0.734,0.811
Noche,Natural,Imagine Dragons,189466,electronica,82,0.611,0.704,0.22
Tarde,FELT,Nate Traveller,105045,tranquila,55,0.559,0.573,0.62
Tarde,Legalideng,General Knas;Rankz;Snövit;Klumben;Raske Penge;AKI;Nico D;Admiral P,337600,latino,29,0.655,0.705,0.466
Tarde,La Secretaría,Mike Laure,165198,rock,39,0.579,0.817,0.911
Mañana,"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 5. Variation IV",Wolfgang Amadeus Mozart;Danielle Laval,92986,tranquila,7,0.179,0.369,0.326
Tarde,Agujetas De Color De Rosa,Los Ovnis,133100,urbana,28,0.622,0.726,0.846
Tarde,When Shared,Project AER;v i v,161999,tranquila,6,0.17,0.673,0.213
Noche,Juliana,DLG,297306,latino,28,0.956,0.714,0.965
Noche,Come y Calla,Newen Afrobeat,540346,electronica,17,0.857,0.795,0.845
Noche,Suavito,Banda Cuisillos,229093,urbana,42,0.743,0.79,0.96
Noche,A Mi No Me Cambia Nadie,Tita Merello,112386,latino,17,0.365,0.479,0.785
Noche,Elsewhere - The Fade edit,MIKTEK,392248,electronica,16,0.523,0.525,0.0652
Noche,Uma vida só - Ao vivo,O Rappa,235864,rock,45,0.898,0.46,0.746
Noche,Time After Time,Cyndi Lauper,243066,pop_comercial,72,0.436,0.724,0.324
Noche,Normal,Feid,171880,latino,2,0.56,0.709,0.541
Tarde,Muerte En Hawaii,Calle 13,189866,electronica,71,0.588,0.675,0.879
Noche,Haunted,Evanescence,185440,rock,3,0.861,0.37,0.16
Noche,Sao Paulo,W&W;The Lost Shepherds;Sonny Wilson,190312,electronica,56,0.957,0.67,0.176
Noche,The Beast With Five Hands,Groovie Ghoulies,125266,pop_comercial,23,0.951,0.507,0.512
Noche,Perfume Casino,Babasónicos,260786,electronica,38,0.411,0.514,0.261
Noche,A Don Agustín Bardi,Armando Pontier,159400,latino,20,0.126,0.685,0.58
Noche,You're Perfect - Remix,Charly Black;Juan Magán;Yonny Atella,201400,urbana,51,0.789,0.821,0.785
Noche,Teri Meri Baatein,Anupam Roy,328384,pop_comercial,49,0.554,0.653,0.455
Noche,いきのこり●ぼくら,Ichiko Aoba,406103,tranquila,52,0.0833,0.592,0.205
Noche,Ovelha,Edson Gomes,209560,latino,44,0.445,0.726,0.813
Noche,Ma Baker,Boney M.,276080,pop_comercial,65,0.76,0.746,0.902
Noche,それは小さな光のような,Sayuri,272906,rock,52,0.959,0.492,0.349
